C3D_Name,Column_1_Output_Name,Column_2_Output_Name,Column_3_Output_Name
RKneeAngle,RKneeFlexExt,RKneeAddAbd,RKneeIntExtRot
RKneeAngVel,RKneeFlexExtAngVel,RKneeAddAbdAngVel,RKneeIntExtRotAngVel
RKneeAngVelDeg,RKneeFlexExtAngVelDeg,RKneeAddAbdAngVelDeg,RKneeIntExtRotAngVelDeg
RKneeForce,RKneeForceX,RKneeForceY,RKneeForceZ
RKneeMoments,RKneeFlexExtMom,RKneeAddAbdMom,RKneeIntExtRotMom
RKneePosition,RKneePositionX,RKneePositionY,RKneePositionZ
RKneePowerTerms,RKneeFlexExtPower,RKneeAddAbdPower,RKneeIntExtRotPower
RKneePowerTermsNorm,RKneeFlexExtPowerNorm,RKneeAddAbdPowerNorm,RKneeIntExtRotPowerNorm
RMT1,RMT1X,RMT1Y,RMT1Z
RMT5,RMT5X,RMT5Y,RMT5Z
RPowerAnkle,XXRAnklePower,XXRAnklePower,RAnkleScalarPower
RPowerAnkleNorm,XXRAnklePowerNorm,XXRAnklePowerNorm,RAnkleScalarPowerNorm
RPowerElbow,XXRPowerElbow,XXRPowerElbow,RElbowScalarPower
RPowerElbowNorm,XXRPowerElbowNorm,XXRPowerElbowNorm,RElbowScalarPowerNorm
RPowerHip,XXRHipPower,XXRHipPower,RHipScalarPower
RPowerHipNorm,XXRHipPowerNorm,XXRHipPowerNorm,RHipScalarPowerNorm
RPowerKnee,XXRKneePower,XXRKneePower,RKneeScalarPower
RPowerKneeNorm,XXRKneePowerNorm,XXRKneePowerNorm,RKneeScalarPowerNorm
RPowerShoulder,XXRPowerShoulder,XXRPowerShoulder,RShoulderScalarPower
RPowerShoulderNorm,XXRPowerShoulderNorm,XXRPowerShoulderNorm,RShoulderScalarPowerNorm
RPowerWrist,XXRPowerWrist,XXRPowerWrist,RWristScalarPower
RPowerWristNorm,XXRPowerWristNorm,XXRPowerWristNorm,RWristScalarPowerNorm
RShldrAngAcc,RShldrFlexExtAngAcc,RShldrAddAbdAngAcc,RShldrIntExtRotAngAcc
